Product Name,Category,Menu,Image Filename,Description,Price,Payment Method,Bank,Account Name,Account Number,Business Name,Business Type,Address,Phone,Fulfillment,Business Name,Business Type,Address,Phone,Fulfillment
RAF 3-in-1 Cordless Rechargeable Food Processor R.2862,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0016.webp,Cordless rechargeable food processor.,45000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 800W Electric Blender R.2842,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0017.webp,"RAF electric blender, 800W.",15500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF Coffee Bean Grinder 400W,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0018.webp,"RAF coffee bean grinder, 400W.",25000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF Citrus Juicer 45W 700ml,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0019.webp,"Citrus juicer, 45W, 700ml.",12500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 900W Vacuum Cleaner,Household Items,Home & Household,IMG-20260825-WA0020.webp,"RAF vacuum cleaner, 900W.",90000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 15L 1000W Food Processor / Yam Pounder R.7724,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0021.webp,"RAF food processor, 15L, 1000W.",70000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
3-Layer Plate Rack,Kitchen Items,Home Organization,photo_1_2026-08-25_02-20-07.webp,Three-layer kitchen dish/plate rack.,23500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Reusable Water Bottles,Kitchen Items,Water Bottles & Flasks,photo_10_2026-08-25_02-20-07.webp,Reusable water bottles.,4500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Kids Water Bottles,Kitchen Items,Water Bottles & Flasks,photo_11_2026-08-25_02-20-07.webp,Children's water bottles.,4500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Thermal Flask Set,Kitchen Items,Water Bottles & Flasks,photo_12_2026-08-25_02-20-07.webp,Insulated thermal flask set.,4000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Electric Cooking Pot / Food Warmer,Kitchen Items,Kitchen & Cookware,photo_13_2026-08-25_02-20-07.webp,Image shows a portable electric cooking/food-warming pot; no exact supplied price confidently matched.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Vacuum Thermos Flasks,Kitchen Items,Water Bottles & Flasks,photo_14_2026-08-25_02-20-07.webp,Vacuum thermos flasks.,4000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Kids Water Bottle Set,Kitchen Items,Water Bottles & Flasks,photo_15_2026-08-25_02-20-07.webp,Children's water bottle set; no separate exact price supplied.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Stackable Storage Containers,Household Items,Home Organization,photo_16_2026-08-25_02-20-07.webp,Stackable storage containers.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Kitchen Storage Container Set,Kitchen Items,Food Storage,photo_17_2026-08-25_02-20-07.webp,Kitchen/food storage container set.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Silicone Baking Moulds,Kitchen Items,Kitchen Tools & Accessories,photo_18_2026-08-25_02-20-07.webp,Silicone baking moulds.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Food Flask Set with Spoon,Gift & Lifestyle Items,Travel Bottles & Flasks,photo_19_2026-08-25_02-20-07.webp,"Food flask set; matched to the supplied ₦14,500 food-flask price.",14500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
2.2L Electric Kettle,Kitchen Items,Kitchen Tools & Accessories,photo_2_2026-08-25_02-20-07.webp,2.2L electric kettle; Synyx model shown in image.,10000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Temperature Flask,Kitchen Items,Water Bottles & Flasks,photo_3_2026-08-25_02-20-07.webp,Temperature-display insulated flask.,3500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Insulated Vacuum Flask,Kitchen Items,Water Bottles & Flasks,photo_4_2026-08-25_02-20-07.webp,Insulated vacuum flask.,1500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Cereal Dispenser,Kitchen Items,Food Storage,photo_5_2026-08-25_02-20-07.webp,Cereal dispenser.,2500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Cereal Dispenser,Kitchen Items,Food Storage,photo_6_2026-08-25_02-20-07.webp,Cereal dispenser.,2000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Bread Knife Set,Kitchen Items,Kitchen Tools & Accessories,photo_7_2026-08-25_02-20-07.webp,Kitchen knife/bread knife set shown in the image.,1500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Double-Pole Clothes Drying Rack,Household Items,Home Organization,photo_8_2026-08-25_02-20-07.webp,Double-pole clothes drying rack; user did not provide a price.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Food Flask,Household Items,Home Organization,photo_9_2026-08-25_02-20-07.webp,"Food flask/container; matched to the supplied ₦6,000 food-flask price.",6000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
